,Presidents,Sentences,Preprocessed_Sentences,Predicted_Label,Score,Sentiment_Score
1117,Mandela,We pay tribute to these heroes.,We pay tribute to these heroes.,positive,0.849,0.8259703572839499
1118,Mandela,"Madame Speaker;  This spirit of community, of partnership and of hard work is required when dealing with problems of crime and corruption.","Madame Speaker;  This spirit of community, of partnership and of hard work is required when dealing with problems of crime and corruption.",neutral,0.6242,0.12092927098274231
1119,Mandela,"Again, in this area, the tendency often is to exaggerate and distort the real situation; to use half-truths and sensationalism to paint a picture of a situation out of control.","Again, in this area, the tendency often is to exaggerate and distort the real situation; to use half-truths and sensationalism to paint a picture of a situation out of control.",negative,0.8217,-0.8148361551575363
1120,Mandela,"It is understandable that unscrupulous politicians, media commentators and those who wish to question the legitimacy of the democratic process as such will conjure up crises in the heads, where in reality there are no crises.","It is understandable that unscrupulous politicians, media commentators and those who wish to question the legitimacy of the democratic process as such will conjure up crises in the heads, where in reality there are no crises.",negative,0.7484,-0.7398728327825665
1121,Mandela,"The task of those interested in improving the country's quality of life is to examine the real situation in its complex forms, even if this may not please the prophets of doom.","The task of those interested in improving the country's quality of life is to examine the real situation in its complex forms, even if this may not please the prophets of doom.",neutral,0.6788,0.018904417753219604
1122,Mandela,"That reality is that, since 1994, there has been a marked decline in virtually all serious crimes such as murder, robbery, taxi violence, car-hijacking and others.","That reality is that, since 1994, there has been a marked decline in virtually all serious crimes such as murder, robbery, taxi violence, car-hijacking and others.",negative,0.7082,-0.6899846959859133
1123,Mandela,"In other words, since this democratic government came into being, there has been a decline in most serious crimes.","In other words, since this democratic government came into being, there has been a decline in most serious crimes.",neutral,0.5852,-0.16771067678928375
1124,Mandela,"This is a result of better co-ordination among all arms of the security services: the police, the intelligence services and the defence force, as well as co-operation across Southern Africa.","This is a result of better co-ordination among all arms of the security services: the police, the intelligence services and the defence force, as well as co-operation across Southern Africa.",positive,0.6889,0.6786010600626469
1125,Mandela,"One such example of effective co-ordination is in the farming areas, where there is an 80% success rate in apprehending the murderers.","One such example of effective co-ordination is in the farming areas, where there is an 80% success rate in apprehending the murderers.",neutral,0.5647,0.21579685807228088
1126,Mandela,The National Crime Prevention Strategy has got off the ground.,The National Crime Prevention Strategy has got off the ground.,neutral,0.6652,-0.12534403055906296
1127,Mandela,"And as we promised last year, the law on bail and mandatory sentences for serious crimes has been passed.","And as we promised last year, the law on bail and mandatory sentences for serious crimes has been passed.",neutral,0.6371,-0.20743072032928467
1128,Mandela,A Detective Academy - interestingly the very first one in the history of South Africa - has been opened to improve police's investigative capacity and skills to do their jobs.,A Detective Academy - interestingly the very first one in the history of South Africa - has been opened to improve police's investigative capacity and skills to do their jobs.,positive,0.7354,0.7284006592817605
1129,Mandela,"Proposals on reducing commercial entry points including closing some so-called international airports have been finalised: and we hope that we shall receive the co-operation of all affected parties, despite the formal agreements that they may have entered into with the previous government.","Proposals on reducing commercial entry points including closing some so-called international airports have been finalised: and we hope that we shall receive the co-operation of all affected parties, despite the formal agreements that they may have entered into with the previous government.",neutral,0.5992,0.35302573814988136
1130,Mandela,Among the elements which know how effective the security forces are becoming are the crime syndicates themselves.,Among the elements which know how effective the security forces are becoming are the crime syndicates themselves.,neutral,0.6158,-0.31185562536120415
1131,Mandela,"It appears that from time to time, and not seldom during crucial political moments, they will engage in dramatic acts such as robbery of cash-in-transit, syndicate turf wars and prison escapes.","It appears that from time to time, and not seldom during crucial political moments, they will engage in dramatic acts such as robbery of cash-in-transit, syndicate turf wars and prison escapes.",negative,0.5006,-0.4799743089824915
1132,Mandela,"But they know, better than any politician that the net is closing on them; that the intelligence services are on their heels even if it may take time to build water-tight cases against them; that wherever they may be hiding - even in the police and other state structures, in the private security companies, among prison warders and even the legal fraternity; that even if they may form a web of political forces bent on destabilising our young democracy - they know that their days are numbered.","But they know, better than any politician that the net is closing on them; that the intelligence services are on their heels even if it may take time to build water-tight cases against them; that wherever they may be hiding - even in the police and other state structures, in the private security companies, among prison warders and even the legal fraternity; that even if they may form a web of political forces bent on destabilising our young democracy - they know that their days are numbered.",negative,0.4953,-0.4477241151034832
1133,Mandela,The same should be said about corrupt elements who see public service as an opportunity for self-enrichment.,The same should be said about corrupt elements who see public service as an opportunity for self-enrichment.,negative,0.7222,-0.7057362291961908
1134,Mandela,Mechanisms are in place and are being improved all the time to root them out.,Mechanisms are in place and are being improved all the time to root them out.,neutral,0.6808,0.22135750576853752
1135,Mandela,"In this regard, I wish to thank the media for its vigilance.","In this regard, I wish to thank the media for its vigilance.",positive,0.8154,0.8032503677532077
1136,Mandela,"While there may be instances where fingers were pointed at individuals without justification, there are a good many examples where investigative journalism has helped us uncover the scoundrels - old and new - who prey on the public purse.","While there may be instances where fingers were pointed at individuals without justification, there are a good many examples where investigative journalism has helped us uncover the scoundrels - old and new - who prey on the public purse.",negative,0.5621,-0.5098387226462364
1137,Mandela,"To find a lasting solution to all these challenges requires a community spirit among all of us, a New Patriotism which is finding root within the populace.","To find a lasting solution to all these challenges requires a community spirit among all of us, a New Patriotism which is finding root within the populace.",neutral,0.5092,0.4245768003165722
1138,Mandela,We must build our nation into a community of citizens who appreciate their civic duty as each one of us improves our well-being.,We must build our nation into a community of citizens who appreciate their civic duty as each one of us improves our well-being.,positive,0.8237,0.8078805152326822
1139,Mandela,We must be ready to give back to society part of what we gain from it.,We must be ready to give back to society part of what we gain from it.,neutral,0.5433,0.41617334447801113
1140,Mandela,"In this respect, the words of one eminent citizen who has actively joined the campaign against crime are worth repeating in this august Assembly:  ""...this country, warts and all, has been good to me - it is unbelievable.","In this respect, the words of one eminent citizen who has actively joined the campaign against crime are worth repeating in this august Assembly:  ""...this country, warts and all, has been good to me - it is unbelievable.",positive,0.9301,0.9234137171879411
1141,Mandela,It has fed me; it has clothed me; it has educated me; it has given me opportunities in the business world that were unthinkable when I was a kid in Brits.,It has fed me; it has clothed me; it has educated me; it has given me opportunities in the business world that were unthinkable when I was a kid in Brits.,positive,0.9069,0.9002537801861763
1142,Mandela,I think the very least I could do is put something back.,I think the very least I could do is put something back.,neutral,0.7256,-0.08079767972230911
1143,Mandela,"And this is my kind of national service and I am enjoying it ...""  This is a challenge to all of us, especially those whose past privileges have afforded them skills that are in high demand in public service, to volunteer skills to help improve the lot of the nation.","And this is my kind of national service and I am enjoying it ...""  This is a challenge to all of us, especially those whose past privileges have afforded them skills that are in high demand in public service, to volunteer skills to help improve the lot of the nation.",positive,0.9033,0.8934858525171876
1144,Mandela,"Indeed, on the vexed question of crime, we could do more if each South African of integrity consciously ask themselves everyday whether they may have assisted in the commission of crime:  * as a parent who conceals the activities of a child who is taking drugs, without assisting the police to track down the suppliers;  * as a customer who co-operates in a transaction which allows you a large discount because the seller will not pay VAT;  * as a trade unionist or ordinary worker who turns a blind eye to pilfering on the shop-floor or worse still to corruption in government service;  * as a politician who stands behind individuals who break the law, in the name of challenging bodies such as the Truth and Reconciliation Commission;  * as a parent or spouse who avoids asking questions when a relative is suddenly awash with money, and behaves like a fugitive from justice.","Indeed, on the vexed question of crime, we could do more if each South African of integrity consciously ask themselves everyday whether they may have assisted in the commission of crime:  * as a parent who conceals the activities of a child who is taking drugs, without assisting the police to track down the suppliers;  * as a customer who co-operates in a transaction which allows you a large discount because the seller will not pay VAT;  * as a trade unionist or ordinary worker who turns a blind eye to pilfering on the shop-floor or worse still to corruption in government service;  * as a politician who stands behind individuals who break the law, in the name of challenging bodies such as the Truth and Reconciliation Commission;  * as a parent or spouse who avoids asking questions when a relative is suddenly awash with money, and behaves like a fugitive from justice.",neutral,0.4972,-0.458849411457777
1145,Mandela,Don't many of us do this and more; and yet express bewilderment at the high rate of crime.,Don't many of us do this and more; and yet express bewilderment at the high rate of crime.,negative,0.7017,-0.6843141447752714
1146,Mandela,What this emphasises is that we need a campaign of moral regeneration.,What this emphasises is that we need a campaign of moral regeneration.,neutral,0.7677,0.07897181808948517
1147,Mandela,"As we reconstruct the material conditions of our existence, we must also change our way of thinking, to respect the value and result of honest work, and to treat each law of the country as our own.","As we reconstruct the material conditions of our existence, we must also change our way of thinking, to respect the value and result of honest work, and to treat each law of the country as our own.",neutral,0.7988,0.046030886471271515
1148,Mandela,This is our call to all South Africans to firm up the moral fibre of our nation.,This is our call to all South Africans to firm up the moral fibre of our nation.,neutral,0.6207,0.27631425112485886
1149,Mandela,"It is a call to artists and musicians and sportspeople, to religious leaders and traditional institutions, to intellectuals, to the media and to all those who should give leadership as we established new symbols and role models: all of us to join hands in a New Patriotism; not because the government says so, but because it is in our common interest to do it.","It is a call to artists and musicians and sportspeople, to religious leaders and traditional institutions, to intellectuals, to the media and to all those who should give leadership as we established new symbols and role models: all of us to join hands in a New Patriotism; not because the government says so, but because it is in our common interest to do it.",neutral,0.6103,0.32879622653126717
1150,Mandela,"In this regard, it is encouraging that the youth of our country through the National Youth Commission have taken important steps to define a youth policy that will give all - irrespective of the skin colour that is the accident of birth - a stake in our new society.","In this regard, it is encouraging that the youth of our country through the National Youth Commission have taken important steps to define a youth policy that will give all - irrespective of the skin colour that is the accident of birth - a stake in our new society.",positive,0.9043,0.8996559814549983
1151,Mandela,"Particularly heartening is the proposal for youth community service, which can be broadened to encompass most of society: be it in helping to clean streets, volunteering services in schools and so on.","Particularly heartening is the proposal for youth community service, which can be broadened to encompass most of society: be it in helping to clean streets, volunteering services in schools and so on.",positive,0.945,0.9400254520587623
1152,Mandela,"Civic duty is the central purpose behind the Masakhane Campaign, whose awareness week last year was fairly successful.","Civic duty is the central purpose behind the Masakhane Campaign, whose awareness week last year was fairly successful.",positive,0.8239,0.8194002248346806
1153,Mandela,"We shall continue this year and beyond to intensify this drive, including the mobilisation of, and assistance to, Non-Governmental and Community-Based Organisations who truly have the interests of the community at heart.","We shall continue this year and beyond to intensify this drive, including the mobilisation of, and assistance to, Non-Governmental and Community-Based Organisations who truly have the interests of the community at heart.",positive,0.7555,0.7448873007670045
1154,Mandela,Honourable Members and Delegates;  It is to promote the spirit of Masakhane that we set up the President's Award for Community Initiative.,Honourable Members and Delegates;  It is to promote the spirit of Masakhane that we set up the President's Award for Community Initiative.,positive,0.7175,0.7130022160708904
1155,Mandela,This annual award honours those who roll up their sleeves and take the initiative to uplift their conditions.,This annual award honours those who roll up their sleeves and take the initiative to uplift their conditions.,positive,0.9225,0.9171854192391038
1156,Mandela,"We are privileged today to have with us, as guests of the President, representatives of the nine communities that were the first Provincial Winners.","We are privileged today to have with us, as guests of the President, representatives of the nine communities that were the first Provincial Winners.",positive,0.9611,0.9592749247094616
1157,Mandela,"Selected from some two thousand entries, they embody the unquenchable determination of South Africans to better their own lives.","Selected from some two thousand entries, they embody the unquenchable determination of South Africans to better their own lives.",positive,0.8324,0.8242247393354774
1158,Mandela,"We recognise the Buhlebemvelo Garden Project from KwaZulu-Natal; the Ikgodisent Sewing Project from Huhudi; the Malungeni Training and Development Centre; the Bekkersdal Flagship Project for unemployed mothers; the Dassie pre-school Centre from Oudtshoorn; the Khotsong Branch of the Homeless People's Federation; the Nkomazi Farmers Association, the Hantam Community Education Trust - and finally, the project which was yesterday announced as the National Winner of the President's Award for Community Initiative, the Mhala Development Centre in the Northern Province, set up by retrenched mineworkers working with their union and their former employer.","We recognise the Buhlebemvelo Garden Project from KwaZulu-Natal; the Ikgodisent Sewing Project from Huhudi; the Malungeni Training and Development Centre; the Bekkersdal Flagship Project for unemployed mothers; the Dassie pre-school Centre from Oudtshoorn; the Khotsong Branch of the Homeless People's Federation; the Nkomazi Farmers Association, the Hantam Community Education Trust - and finally, the project which was yesterday announced as the National Winner of the President's Award for Community Initiative, the Mhala Development Centre in the Northern Province, set up by retrenched mineworkers working with their union and their former employer.",neutral,0.7563,0.2200304986909032
1159,Mandela,"Our congratulations to those whom you represent, and indeed to all the 54 runners-up.","Our congratulations to those whom you represent, and indeed to all the 54 runners-up.",positive,0.9632,0.9609070203732699
1160,Mandela,May the financial prizes from government strengthen your efforts - and may your example inspire others to seek this honour in future years.,May the financial prizes from government strengthen your efforts - and may your example inspire others to seek this honour in future years.,positive,0.9568,0.9529177681542933
1161,Mandela,"There are also countless others outside the limelight who deserve our admiration, and gratitude, such as school principal Mr Mandla Hlatshwayo of Ndwedwe in KwaZulu-Natal, who braved a raging river during torrential rains to deliver matric examination papers to his students; the security guard who risked life and limb single-handedly to hold highway robbers at bay, leading to their arrest; the many sportspeople and other citizens who make us proud to be South African.","There are also countless others outside the limelight who deserve our admiration, and gratitude, such as school principal Mr Mandla Hlatshwayo of Ndwedwe in KwaZulu-Natal, who braved a raging river during torrential rains to deliver matric examination papers to his students; the security guard who risked life and limb single-handedly to hold highway robbers at bay, leading to their arrest; the many sportspeople and other citizens who make us proud to be South African.",positive,0.9013,0.8939014398492873
1162,Mandela,This multifaceted effort to build our society on the basis of a new morality demands that we should be open about mistakes that we committed in the past.,This multifaceted effort to build our society on the basis of a new morality demands that we should be open about mistakes that we committed in the past.,neutral,0.7174,-0.07077576220035553
1163,Mandela,Such is the importance of the Truth and Reconciliation Commission.,Such is the importance of the Truth and Reconciliation Commission.,neutral,0.68,0.2842867188155651
1164,Mandela,"Because these mistakes were committed by us, so will their airing in public be hurtful and at times embarrassing.","Because these mistakes were committed by us, so will their airing in public be hurtful and at times embarrassing.",negative,0.8833,-0.877227789722383
1165,Mandela,"But the more we know about how low we once sank, the more difficult it will be to repeat these mistakes.","But the more we know about how low we once sank, the more difficult it will be to repeat these mistakes.",negative,0.7878,-0.7724955072626472
1166,Mandela,At the hearings of the TRC over the past year many horrid details emerged.,At the hearings of the TRC over the past year many horrid details emerged.,negative,0.8619,-0.8552201185375452
1167,Mandela,"We cannot fail to have been moved by the remorse of some perpetrators, and the preparedness of victims to forgive.","We cannot fail to have been moved by the remorse of some perpetrators, and the preparedness of victims to forgive.",neutral,0.4782,0.302704356610775
1168,Mandela,We cannot fail to have been astounded by their very modest appeals for their dignity to be restored.,We cannot fail to have been astounded by their very modest appeals for their dignity to be restored.,neutral,0.4638,-0.006609231233596802
1169,Mandela,"But this should not be surprising, for their suffering was not for pecuniary gain, but for the great prize of freedom and a better life for all.","But this should not be surprising, for their suffering was not for pecuniary gain, but for the great prize of freedom and a better life for all.",positive,0.4691,0.39853495359420776
1170,Mandela,The government has heard the appeals for urgent reparations.,The government has heard the appeals for urgent reparations.,neutral,0.8142,0.02988741546869278
1171,Mandela,And we shall be ready to provide modest assistance when the details have been forwarded.,And we shall be ready to provide modest assistance when the details have been forwarded.,neutral,0.5609,0.41274760477244854
1172,Mandela,"As part of the multi-year budget, account will be taken of the needs, within our limited resources; and we hope that those who benefited from the suppression of others will find it within themselves to make a contribution.","As part of the multi-year budget, account will be taken of the needs, within our limited resources; and we hope that those who benefited from the suppression of others will find it within themselves to make a contribution.",neutral,0.5873,0.3651352431625128
1173,Mandela,"As the TRC moves towards finalising its work, we shall do our best to ensure that their needs are provided for.","As the TRC moves towards finalising its work, we shall do our best to ensure that their needs are provided for.",neutral,0.5199,0.4508400158956647
1174,Mandela,"But we know too that this will not be the end, but the beginning of the process of reconciliation.","But we know too that this will not be the end, but the beginning of the process of reconciliation.",neutral,0.7629,0.10609608888626099
1175,Mandela,It is quite unfortunate that some among us still refuse to co-operate with the TRC.,It is quite unfortunate that some among us still refuse to co-operate with the TRC.,negative,0.8957,-0.8912062700837851
1176,Mandela,"Given that part of its task is to unmask the networks that not only violated human rights, but also formed one web with crime syndicates, the question will haunt such forces forever, why it is that they continue to conceal this information!","Given that part of its task is to unmask the networks that not only violated human rights, but also formed one web with crime syndicates, the question will haunt such forces forever, why it is that they continue to conceal this information!",negative,0.8515,-0.8456524689681828
1177,Mandela,"We need to make it clear that those who cringe at the banks of the Rubicon of truth, those who served in state structures and refused to apply for amnesty, will not be assisted by the state in the face of whatever consequences accrue to them from their past.","We need to make it clear that those who cringe at the banks of the Rubicon of truth, those who served in state structures and refused to apply for amnesty, will not be assisted by the state in the face of whatever consequences accrue to them from their past.",negative,0.729,-0.718751223757863
1178,Mandela,"Related to this is the danger of any political leadership and media to continue with the campaign of exploiting the fear, uncertainty and anxiety of certain communities about the transition.","Related to this is the danger of any political leadership and media to continue with the campaign of exploiting the fear, uncertainty and anxiety of certain communities about the transition.",negative,0.7795,-0.7732683103531599
1179,Mandela,"The clamour among some parties to outdo one another in this regard is counter-productive, to say the least.","The clamour among some parties to outdo one another in this regard is counter-productive, to say the least.",negative,0.7964,-0.7867925586178899
1180,Mandela,It worsens polarisation and stokes the fires that have the potential of consuming all of us.,It worsens polarisation and stokes the fires that have the potential of consuming all of us.,negative,0.8788,-0.872431565541774
1181,Mandela,"In any case, it is pointless because it will not stop change.","In any case, it is pointless because it will not stop change.",negative,0.7645,-0.7479470279067755
1182,Mandela,Transformation is this government's reason for existence; and we shall not for a moment shirk our responsibility to the poor.,Transformation is this government's reason for existence; and we shall not for a moment shirk our responsibility to the poor.,neutral,0.6339,0.16103608906269073
1183,Mandela,"This government is humane, and we know that the well-being of those previously denied their rights is the sure guarantee for the well-being of all.","This government is humane, and we know that the well-being of those previously denied their rights is the sure guarantee for the well-being of all.",positive,0.858,0.8434994705021381
1184,Mandela,It is for this reason that it pains me personally when I listen to some of the debates in this chamber.,It is for this reason that it pains me personally when I listen to some of the debates in this chamber.,negative,0.8981,-0.8919667503796518
1185,Mandela,"Always, a clear distinction emerges between those who were at the cutting edge of the struggle for freedom who strive for change; and those who implemented of benefited from oppression who seek to block transformation, in defence of a modified form of the old order.","Always, a clear distinction emerges between those who were at the cutting edge of the struggle for freedom who strive for change; and those who implemented of benefited from oppression who seek to block transformation, in defence of a modified form of the old order.",neutral,0.8016,-0.04537486284971237
1186,Mandela,I should take this opportunity to pay homage to the institutions charged with the task of enhancing our democracy and culture of human rights.,I should take this opportunity to pay homage to the institutions charged with the task of enhancing our democracy and culture of human rights.,positive,0.6529,0.63308946788311
1187,Mandela,"If we say with confidence that South Africa will succeed, it is in part because we know there is a Constitutional Court, the Public Protector, the Human rights Commission, the Electoral Commission, which has started its challenging work, and the Auditor-General, all of which will assist in ensuring that what we do is not only constitutional, legal and legitimate, but that it is seen to be so by all and sundry, including the weakest among us.","If we say with confidence that South Africa will succeed, it is in part because we know there is a Constitutional Court, the Public Protector, the Human rights Commission, the Electoral Commission, which has started its challenging work, and the Auditor-General, all of which will assist in ensuring that what we do is not only constitutional, legal and legitimate, but that it is seen to be so by all and sundry, including the weakest among us.",positive,0.7788,0.7618175577372313
1188,Mandela,A word of congratulations to the Gender Commission which has started its work to ensure that our society is true to the principles of consistent equality in everything we do.,A word of congratulations to the Gender Commission which has started its work to ensure that our society is true to the principles of consistent equality in everything we do.,positive,0.9465,0.9430596067104489
1189,Mandela,Yet this Commission and the Office on the Status of Women should not be seen as watchdogs of an alien force bent on doing wrong.,Yet this Commission and the Office on the Status of Women should not be seen as watchdogs of an alien force bent on doing wrong.,negative,0.7102,-0.6986345760524273
1190,Mandela,"Rather society as a whole should see them as part of our joint efforts as men and women, to liberate themselves from gender prejudice.","Rather society as a whole should see them as part of our joint efforts as men and women, to liberate themselves from gender prejudice.",neutral,0.7626,0.13374384492635727
1191,Mandela,We are also encouraged by the systematic work being done regarding the position of the disabled.,We are also encouraged by the systematic work being done regarding the position of the disabled.,positive,0.7813,0.7727012243121862
1192,Mandela,"What matters is not merely the thousands of wheel-chairs, hearing aids and tens of thousands of cataract operations provided in the past year alone; but also ensuring that the attitude in employment practises, in discourse, in design of infrastructure and more - all these should be changed with the participation of the disabled themselves.","What matters is not merely the thousands of wheel-chairs, hearing aids and tens of thousands of cataract operations provided in the past year alone; but also ensuring that the attitude in employment practises, in discourse, in design of infrastructure and more - all these should be changed with the participation of the disabled themselves.",neutral,0.7375,0.09951698035001755
1193,Mandela,"This year, we shall ensure the intensification of the efforts regarding multi-lingualism in government work, and we should thank the Pan-South African Language Board for its vigilance.","This year, we shall ensure the intensification of the efforts regarding multi-lingualism in government work, and we should thank the Pan-South African Language Board for its vigilance.",positive,0.8495,0.8451690408401191
1194,Mandela,"Further, after extensive consultations during the course of last year, we are a step closer towards the setting up of the Commission for the Promotion and Protection of the Rights of Cultural, Religious and Linguistic Communities.","Further, after extensive consultations during the course of last year, we are a step closer towards the setting up of the Commission for the Promotion and Protection of the Rights of Cultural, Religious and Linguistic Communities.",positive,0.6252,0.6201974377036095
1195,Mandela,"Madame Speaker;  Our programme for this year will once more seek to speed up the improvement of the lives of all, with particular emphasis on the most vulnerable and needy.","Madame Speaker;  Our programme for this year will once more seek to speed up the improvement of the lives of all, with particular emphasis on the most vulnerable and needy.",positive,0.8877,0.8843331788666546
1196,Mandela,"Some of the additional highlights of this programme, whose detail will be announced by the various ministries during the course of next week, include:  Our commitment to meet our budget deficit targets, as we further improve the efficiency of tax collection.","Some of the additional highlights of this programme, whose detail will be announced by the various ministries during the course of next week, include:  Our commitment to meet our budget deficit targets, as we further improve the efficiency of tax collection.",positive,0.6269,0.6227029664441943
1197,Mandela,"As the further steps we took recently indicated, we shall continue, on a case-by-case basis, to lift exchange controls as conditions for such mature.","As the further steps we took recently indicated, we shall continue, on a case-by-case basis, to lift exchange controls as conditions for such mature.",neutral,0.8697,0.09466425701975822
1198,Mandela,Construction starts on many Maputo Development Corridor projects; two new development initiatives in the Cape West Coast and Northern KwaZulu-Natal will be launched in the first half of the year.,Construction starts on many Maputo Development Corridor projects; two new development initiatives in the Cape West Coast and Northern KwaZulu-Natal will be launched in the first half of the year.,positive,0.5997,0.5963562428951263
1199,Mandela,Work starts in the West to complete the Highway across South Africa from Maputo to Walvis Bay.,Work starts in the West to complete the Highway across South Africa from Maputo to Walvis Bay.,neutral,0.9253,0.06040458753705025
1200,Mandela,The basic economy is being revolutionised.,The basic economy is being revolutionised.,negative,0.787,-0.7732651699334383
1201,Mandela,"The integrated tourism programme will be launched in earnest, with the potential to create 300 thousand jobs by the turn of the century.","The integrated tourism programme will be launched in earnest, with the potential to create 300 thousand jobs by the turn of the century.",positive,0.7581,0.7540147784166038
1202,Mandela,"In the work-place, the departure from apartheid practices will be felt even more keenly as we finalise and implement the bill on employment equity.","In the work-place, the departure from apartheid practices will be felt even more keenly as we finalise and implement the bill on employment equity.",neutral,0.6403,0.3138725012540817
1203,Mandela,"And let us hasten to add in this regard, that we shall not be discouraged by the sirens of self-interest that are being sounded in defence of privilege, and the insults that equate women, Africans, Indians, Coloureds and the disabled with a lowering of standards.","And let us hasten to add in this regard, that we shall not be discouraged by the sirens of self-interest that are being sounded in defence of privilege, and the insults that equate women, Africans, Indians, Coloureds and the disabled with a lowering of standards.",neutral,0.5467,-0.34173615649342537
1204,Mandela,"As we have said before, affirmative action is corrective action.","As we have said before, affirmative action is corrective action.",neutral,0.8091,-0.10852185264229774
1205,Mandela,There is no other way of moving away from racial discrimination to true equality.,There is no other way of moving away from racial discrimination to true equality.,negative,0.5815,-0.5553007032722235
1206,Mandela,"We therefore reject campaigns which are based on fear, rumour and gossip.","We therefore reject campaigns which are based on fear, rumour and gossip.",negative,0.4885,-0.46364053897559643
1207,Mandela,"Special attention this year will be paid to the further consolidation of Local Government, with its critical contribution in areas of infrastructure, job-creation, small business development and the very legitimacy of democracy.","Special attention this year will be paid to the further consolidation of Local Government, with its critical contribution in areas of infrastructure, job-creation, small business development and the very legitimacy of democracy.",positive,0.8363,0.8326124886516482
1208,Mandela,"We should also take this opportunity to acknowledge local government Delegates present her, and with them celebrate the beginning of their full participation in the National Council of Provinces and Inter-Governmental Forums.","We should also take this opportunity to acknowledge local government Delegates present her, and with them celebrate the beginning of their full participation in the National Council of Provinces and Inter-Governmental Forums.",positive,0.7686,0.7659713230095804
1209,Mandela,The White Paper and new legislation on local government which should be finalised this year will help streamline this sphere of government without derogating from representivity and accountability.,The White Paper and new legislation on local government which should be finalised this year will help streamline this sphere of government without derogating from representivity and accountability.,positive,0.5234,0.506594667211175
1210,Mandela,"And to start meeting the requirements of the constitution in the context of poverty alleviation, over R3 billion will this year be equitably and directly allocated to this sphere of government.","And to start meeting the requirements of the constitution in the context of poverty alleviation, over R3 billion will this year be equitably and directly allocated to this sphere of government.",neutral,0.7589,0.1983449850231409
1211,Mandela,"As we attend to these matters, particular attention will be paid to continued dialogue with traditional leaders, so as to ensure that all of them become full and active partners in the struggle for local development.","As we attend to these matters, particular attention will be paid to continued dialogue with traditional leaders, so as to ensure that all of them become full and active partners in the struggle for local development.",neutral,0.548,0.4282624404877424
1212,Mandela,"This year also sees the launch of the new Government Communications and Information Service, which, we are certain, will contribute to the challenge to improve communication among South Africans, to afford citizens their rights to information and to air their views.","This year also sees the launch of the new Government Communications and Information Service, which, we are certain, will contribute to the challenge to improve communication among South Africans, to afford citizens their rights to information and to air their views.",positive,0.79,0.786982950521633
1213,Mandela,"Our continuing work to reduce incidents of crime will also pay particular attention to women and child abuse, crimes which, regrettably seem to be on the increase.","Our continuing work to reduce incidents of crime will also pay particular attention to women and child abuse, crimes which, regrettably seem to be on the increase.",negative,0.6019,-0.5748120844364166
1214,Mandela,Special programmes for the 6 metropolitan areas which account for the bulk of violent crimes are being finalised for immediate implementation.,Special programmes for the 6 metropolitan areas which account for the bulk of violent crimes are being finalised for immediate implementation.,neutral,0.6584,-0.29676510766148567
1215,Mandela,"Let us once more underline to those who choose to live a life of violent crime, that as recent incidents regarding cash heists have shown, we shall, with the combined might of the security services, return fire with overwhelming fire.","Let us once more underline to those who choose to live a life of violent crime, that as recent incidents regarding cash heists have shown, we shall, with the combined might of the security services, return fire with overwhelming fire.",negative,0.6583,-0.6365728434175253
1216,Mandela,"This year, we launch the programme that will streamline the judicial system so as to alleviate overcrowding in prisons, without creating any new dangers to society.","This year, we launch the programme that will streamline the judicial system so as to alleviate overcrowding in prisons, without creating any new dangers to society.",neutral,0.6637,0.2575402893126011
1217,Mandela,"Above all, we shall appoint the National Director of Public Prosecutions and provincial counterparts - a first in the history of our country.","Above all, we shall appoint the National Director of Public Prosecutions and provincial counterparts - a first in the history of our country.",neutral,0.5534,0.4320245813578367
1218,Mandela,"Within the intelligence services, it has become even more urgent to unearth the few rotten apples who arrogantly pursue an agenda counter to transformation.","Within the intelligence services, it has become even more urgent to unearth the few rotten apples who arrogantly pursue an agenda counter to transformation.",neutral,0.5695,-0.30702292174100876
1219,Mandela,"To put it mildly, they are an affront to our security and our pride as a nation; they are a blight on the commendable work that these services are doing to defend democracy.","To put it mildly, they are an affront to our security and our pride as a nation; they are a blight on the commendable work that these services are doing to defend democracy.",negative,0.9141,-0.90619105566293
1220,Mandela,"We are proud that, after a year of so of healthy and informative debate, we can now start the protracted process of re-equipping our National Defence Force.","We are proud that, after a year of so of healthy and informative debate, we can now start the protracted process of re-equipping our National Defence Force.",positive,0.941,0.937312102643773
1221,Mandela,"We wish to congratulate the armed forces and economic ministries which have ensured that much of this will be done without a strain on the budget, and in a way that will benefit the economy.","We wish to congratulate the armed forces and economic ministries which have ensured that much of this will be done without a strain on the budget, and in a way that will benefit the economy.",positive,0.9486,0.9443113640882075
1222,Mandela,Our social programme will be aimed at accelerating implementation and consolidation of what has been achieved within the limits of our resources.,Our social programme will be aimed at accelerating implementation and consolidation of what has been achieved within the limits of our resources.,positive,0.5595,0.5536611480638385
1223,Mandela,"This includes:  * Ensuring that 90% of mothers and young children have access to free medical care; starting the child support grant system which will reach 3-million children by the fifth year; achieving an 85% cure rate for tuberculosis; implementing the new laws to make drugs and doctors accessible; and, in addition to the building of clinics, dedicating R100 million to the upgrading of hospitals.","This includes:  * Ensuring that 90% of mothers and young children have access to free medical care; starting the child support grant system which will reach 3-million children by the fifth year; achieving an 85% cure rate for tuberculosis; implementing the new laws to make drugs and doctors accessible; and, in addition to the building of clinics, dedicating R100 million to the upgrading of hospitals.",positive,0.5388,0.5258188974112272
