,Presidents,Sentences,Preprocessed_Sentences,Predicted_Label,Score
1455,Mandela,They do have the capacity to make a special contribution to breaking the silence which fuels this epidemic; as we shall all be doing during the coming National Condom Week when we focus on prevention.,They do have the capacity to make a special contribution to breaking the silence which fuels this epidemic; as we shall all be doing during the coming National Condom Week when we focus on prevention.,positive,0.6161
1456,Mandela,This leadership role by the youth reinforces my own hope in the future of our country and our nation.,This leadership role by the youth reinforces my own hope in the future of our country and our nation.,positive,0.9488
1457,Mandela,"And I wish to, all on all the youth of our country, in their millions, to recognise their civic duty in all spheres of life, including taking part in exercising their right to elect a government of their choice.","And I wish to, all on all the youth of our country, in their millions, to recognise their civic duty in all spheres of life, including taking part in exercising their right to elect a government of their choice.",positive,0.5314
1458,Mandela,Madame Speaker;  I referred at the beginning to the letters written by a notorious prisoner.,Madame Speaker;  I referred at the beginning to the letters written by a notorious prisoner.,neutral,0.7895
1459,Mandela,"In one of them, he said:  ""I am disturbed, as many other South Africans no doubt are, by the spectre of a South Africa split into two hostile camps: blacks on one side... and whites on the other, slaughtering one another; by acute tensions which are building up dangerously in practically every sphere of our lives.","In one of them, he said:  ""I am disturbed, as many other South Africans no doubt are, by the spectre of a South Africa split into two hostile camps: blacks on one side... and whites on the other, slaughtering one another; by acute tensions which are building up dangerously in practically every sphere of our lives.",negative,0.7782
1460,Mandela,.,.,neutral,0.5772
1461,Mandela,".""",".""",neutral,0.56
1462,Mandela,"As I said earlier, we have collectively managed the transition in a commendable manner.","As I said earlier, we have collectively managed the transition in a commendable manner.",positive,0.8479
1463,Mandela,But it is matter of public record that elements of these divisions remain.,But it is matter of public record that elements of these divisions remain.,neutral,0.6178
1464,Mandela,We slaughter one another in our words and attitudes.,We slaughter one another in our words and attitudes.,negative,0.9172
1465,Mandela,"We slaughter one another in the stereotypes and mistrust that linger in our heads, and the words of hate we spew from our lips.","We slaughter one another in the stereotypes and mistrust that linger in our heads, and the words of hate we spew from our lips.",negative,0.9332
1466,Mandela,"We slaughter one another in the responses that some of us give to efforts aimed at bettering the lives of the poor We slaughter one another and our country by the manner in which we exaggerate its weaknesses to the wider world, heroes of the gab who astound their foreign associates by their self-flagellation.","We slaughter one another in the responses that some of us give to efforts aimed at bettering the lives of the poor We slaughter one another and our country by the manner in which we exaggerate its weaknesses to the wider world, heroes of the gab who astound their foreign associates by their self-flagellation.",negative,0.9251
1467,Mandela,This must come to an end.,This must come to an end.,negative,0.8413
1468,Mandela,"For, indeed, those who thrive on hatred destroy their own capacity to make a positive contribution.","For, indeed, those who thrive on hatred destroy their own capacity to make a positive contribution.",negative,0.8654
1469,Mandela,"To the extent that the apprehensions about the meaning of democracy relate to real fears about matters such as language and culture, we are proud that progress is being made towards the establishment of the Commission on these and other issues so that all can feel secure as part of a united nation.","To the extent that the apprehensions about the meaning of democracy relate to real fears about matters such as language and culture, we are proud that progress is being made towards the establishment of the Commission on these and other issues so that all can feel secure as part of a united nation.",positive,0.6586
1470,Mandela,"To the extent that some of the apprehensions are imagined or based on opposition to change, to that extent we are convinced that history will be the best teacher.","To the extent that some of the apprehensions are imagined or based on opposition to change, to that extent we are convinced that history will be the best teacher.",positive,0.5354
1471,Mandela,"We hope though, especially as we go into the election campaign, that real leaders will emerge who base their messages on hope rather than fear; on the optimism of hard work rather than the pessimism of arm-chair whining.","We hope though, especially as we go into the election campaign, that real leaders will emerge who base their messages on hope rather than fear; on the optimism of hard work rather than the pessimism of arm-chair whining.",positive,0.8101
1472,Mandela,Dealing with these challenges also means accepting the facts of our history.,Dealing with these challenges also means accepting the facts of our history.,neutral,0.8127
1473,Mandela,"As I said when I received the TRC Interim Report last October, the government accepts it with its imperfections.","As I said when I received the TRC Interim Report last October, the government accepts it with its imperfections.",neutral,0.7761
1474,Mandela,We recognise that it is not a definitive or comprehensive history of the period it was reviewing; neither was it a court of law.,We recognise that it is not a definitive or comprehensive history of the period it was reviewing; neither was it a court of law.,neutral,0.6465
1475,Mandela,It was an important contribution on the way to truth and reconciliation.,It was an important contribution on the way to truth and reconciliation.,positive,0.8363
1476,Mandela,"The critical act of reconciliation, to come back to the letters I referred to earlier, is the dismantling of what remains of apartheid practices and attitudes.","The critical act of reconciliation, to come back to the letters I referred to earlier, is the dismantling of what remains of apartheid practices and attitudes.",neutral,0.8064
1477,Mandela,"Reconciliation, without this major step, will be transient, the ode of false hope on the lips of fools.","Reconciliation, without this major step, will be transient, the ode of false hope on the lips of fools.",negative,0.8504
1478,Mandela,"It will therefore be critical, that when we go into the detail of the TRC report's recommendations in the coming period, we must elaborate concrete plans about how together we can make practical contributions.","It will therefore be critical, that when we go into the detail of the TRC report's recommendations in the coming period, we must elaborate concrete plans about how together we can make practical contributions.",neutral,0.6007
1479,Mandela,"This applies particularly to reparations, not so much to individuals, but to communities and the nation as a whole.","This applies particularly to reparations, not so much to individuals, but to communities and the nation as a whole.",neutral,0.8578
1480,Mandela,"Let me reiterate that we shall all assist that process of nation-building and reconciliation, reconstruction and development, by protecting the institutions which guarantee the checks and balances that make social and political aberrations impossible.","Let me reiterate that we shall all assist that process of nation-building and reconciliation, reconstruction and development, by protecting the institutions which guarantee the checks and balances that make social and political aberrations impossible.",positive,0.5251
1481,Mandela,"Our word of acknowledgement to the Human Rights Commission, the Gender Commission and others for the sterling work they are doing to strengthen democracy.","Our word of acknowledgement to the Human Rights Commission, the Gender Commission and others for the sterling work they are doing to strengthen democracy.",positive,0.8278
1482,Mandela,"We should also underline that, while it is a matter of design rather than accident, that our social programmes for the poor impact most significantly on the lives of women, this is but a small element in dealing with gender relations.","We should also underline that, while it is a matter of design rather than accident, that our social programmes for the poor impact most significantly on the lives of women, this is but a small element in dealing with gender relations.",neutral,0.6169
1483,Mandela,Need we remind ourselves that the greatest number of violent crimes that we have referred to take place in the home and mostly against women!,Need we remind ourselves that the greatest number of violent crimes that we have referred to take place in the home and mostly against women!,negative,0.7797
1484,Mandela,"Need we remind ourselves of the various forms of discrimination that still exist in the work-place, schools, places of worship and other social activity!","Need we remind ourselves of the various forms of discrimination that still exist in the work-place, schools, places of worship and other social activity!",negative,0.6199
1485,Mandela,"But we should also derive pride that, never in the history of this country has any government done so much to improve the status of women - black and white: and this, with their active participation!","But we should also derive pride that, never in the history of this country has any government done so much to improve the status of women - black and white: and this, with their active participation!",positive,0.9097
1486,Mandela,The institution of the independent judiciary has been throughout these first years of our freedom been a fundamental pillar of our democracy.,The institution of the independent judiciary has been throughout these first years of our freedom been a fundamental pillar of our democracy.,positive,0.7195
1487,Mandela,And it continues to be.,And it continues to be.,neutral,0.5816
1488,Mandela,"It is matter of great pride that we have established a dispensation in which no-one, not even the President, is above the law.","It is matter of great pride that we have established a dispensation in which no-one, not even the President, is above the law.",negative,0.4407
1489,Mandela,"And for this, we owe thanks to the men and women of integrity who serve in this institution.","And for this, we owe thanks to the men and women of integrity who serve in this institution.",positive,0.9259
1490,Mandela,Another pillar of our democracy is the Independent Electoral Commission; and we respect it as we do all the others.,Another pillar of our democracy is the Independent Electoral Commission; and we respect it as we do all the others.,positive,0.7747
1491,Mandela,"Like all other such bodies, it is being assisted in various ways in accordance with the mission set out in the constitution, and what the country can afford.","Like all other such bodies, it is being assisted in various ways in accordance with the mission set out in the constitution, and what the country can afford.",neutral,0.8054
1492,Mandela,"I should indicate that, after rational discussion, agreement was reached that the IEC should be allocated more than R160-million in additional funds, in the coming budget year, further to enable it to fulfil its functions.","I should indicate that, after rational discussion, agreement was reached that the IEC should be allocated more than R160-million in additional funds, in the coming budget year, further to enable it to fulfil its functions.",neutral,0.5338
1493,Mandela,"For the work that it has done to register potential voters, the IEC deserves our encouragement.","For the work that it has done to register potential voters, the IEC deserves our encouragement.",positive,0.8491
1494,Mandela,But it is you the citizen who has to come out voluntarily to register and take part in South Africa's governance.,But it is you the citizen who has to come out voluntarily to register and take part in South Africa's governance.,neutral,0.826
1495,Mandela,We urge those who have not registered to do so without delay.,We urge those who have not registered to do so without delay.,neutral,0.8902
1496,Mandela,Democracy needs your voice.,Democracy needs your voice.,neutral,0.5481
1497,Mandela,"Because of the impediment placed before us by some of the parties in this parliament, I am unable to formally announce the election date.","Because of the impediment placed before us by some of the parties in this parliament, I am unable to formally announce the election date.",negative,0.7765
1498,Mandela,"It is the insistence that we retain the option, contained in the constitution, for Premiers to announce their own election dates - and not any reluctance on the part of the President - that this matter cannot be settled here and now.","It is the insistence that we retain the option, contained in the constitution, for Premiers to announce their own election dates - and not any reluctance on the part of the President - that this matter cannot be settled here and now.",neutral,0.6969
1499,Mandela,"I am however able to give the indication, after extensive consultations, that we aim to select a day for our second national election in the period between the 1 8'h and 27'h of May.","I am however able to give the indication, after extensive consultations, that we aim to select a day for our second national election in the period between the 1 8'h and 27'h of May.",neutral,0.8268
1500,Mandela,"Honourable Members and Delegates;  If we dare ourselves to succeed in this endeavour, it is because the benefit will be primarily ours.","Honourable Members and Delegates;  If we dare ourselves to succeed in this endeavour, it is because the benefit will be primarily ours.",positive,0.8262
1501,Mandela,"But there is a sense in which it will be for all humanity, the majority of whom took part in efforts to help us achieve our democracy.","But there is a sense in which it will be for all humanity, the majority of whom took part in efforts to help us achieve our democracy.",positive,0.6107
1502,Mandela,"Naturally, Southern Africa is our most critical point of reference.","Naturally, Southern Africa is our most critical point of reference.",neutral,0.7479
1503,Mandela,"As we progress towards social and economic integration in the region, we are guided by the need to reverse the legacy of our past in the form of a trade balance skewed in South Africa's favour.","As we progress towards social and economic integration in the region, we are guided by the need to reverse the legacy of our past in the form of a trade balance skewed in South Africa's favour.",neutral,0.6814
1504,Mandela,"The re-negotiation of the Southern African Customs Union and the progress towards a SADC free trade area, slow as they may seem to outside observers, are making progress along a path that is rneaningful and sustainable.","The re-negotiation of the Southern African Customs Union and the progress towards a SADC free trade area, slow as they may seem to outside observers, are making progress along a path that is rneaningful and sustainable.",neutral,0.5709
1505,Mandela,"Amongst the many concrete symbols of the integrated reconstruction of our region is the progress towards the establishment of a Southern African Electricity Power Pool co-ordinated from Harare, which will also augment the region's power from the rehabilitated Cahora Bassa project.","Amongst the many concrete symbols of the integrated reconstruction of our region is the progress towards the establishment of a Southern African Electricity Power Pool co-ordinated from Harare, which will also augment the region's power from the rehabilitated Cahora Bassa project.",positive,0.6613
1506,Mandela,"These firm steps towards integration are part of the renewal of our continent, an African Renaissance campaign which is growing to become a continental movement.","These firm steps towards integration are part of the renewal of our continent, an African Renaissance campaign which is growing to become a continental movement.",positive,0.7288
1507,Mandela,"Our celebration of the millennium must reinforce this campaign and draw our artists, intellectuals and journalists more actively into this enterprise.","Our celebration of the millennium must reinforce this campaign and draw our artists, intellectuals and journalists more actively into this enterprise.",positive,0.7715
1508,Mandela,"Sports events such as the Africa Games in Greater Johannesburg this Spring, and the African Cup of Nations in Zimbabwe next year, should form part of this celebration of Africa's rebirth.","Sports events such as the Africa Games in Greater Johannesburg this Spring, and the African Cup of Nations in Zimbabwe next year, should form part of this celebration of Africa's rebirth.",positive,0.7913
1509,Mandela,Fundamental to our success in generating this rebirth is to root out the causes of conflicts which are ravaging parts of the continent.,Fundamental to our success in generating this rebirth is to root out the causes of conflicts which are ravaging parts of the continent.,neutral,0.6444
1510,Mandela,It is with great concern that we see Angola once more threatened with all-out war.,It is with great concern that we see Angola once more threatened with all-out war.,negative,0.8749
1511,Mandela,We do ask ourselves whether the time has not come to draw basic lessons from this experience: to pose the question whether the United Nations' approach has been what is required of a situation in which one party rejects the results of a free and fair election.,We do ask ourselves whether the time has not come to draw basic lessons from this experience: to pose the question whether the United Nations' approach has been what is required of a situation in which one party rejects the results of a free and fair election.,neutral,0.6007
1512,Mandela,"In the Democratic Republic of the Congo, we do welcome the growing realisation that political inclusivity in transition is one of the solutions required.","In the Democratic Republic of the Congo, we do welcome the growing realisation that political inclusivity in transition is one of the solutions required.",positive,0.8631
1513,Mandela,There can be no winner in the military contest; there can only be untold suffering to the African people.,There can be no winner in the military contest; there can only be untold suffering to the African people.,negative,0.9231
1514,Mandela,"Further afield, we remain hopeful that the protracted conflicts and the terrible suffering of civilians in countries such as Sierra Leone, Somalia and the Sudan will be brought to an end.","Further afield, we remain hopeful that the protracted conflicts and the terrible suffering of civilians in countries such as Sierra Leone, Somalia and the Sudan will be brought to an end.",neutral,0.6246
1515,Mandela,"And looking beyond our continent, we join all humanity in calling for a speedy resolution of the problems in the Middle East and in East Timor.","And looking beyond our continent, we join all humanity in calling for a speedy resolution of the problems in the Middle East and in East Timor.",neutral,0.6846
1516,Mandela,If I may I would like to say a few brief words on Lesotho.,If I may I would like to say a few brief words on Lesotho.,neutral,0.9064
1517,Mandela,There is no doubt that SADC's collective initiative succeeded in creating the space for this country's political leaders to find a peaceful resolution of their differences; and we ought to take this opportunity to congratulate the Botswana and South African Defence Forces on their decisive contribution; and to pay tribute to those who lost their lives.,There is no doubt that SADC's collective initiative succeeded in creating the space for this country's political leaders to find a peaceful resolution of their differences; and we ought to take this opportunity to congratulate the Botswana and South African Defence Forces on their decisive contribution; and to pay tribute to those who lost their lives.,positive,0.7787
1518,Mandela,"We wish to assure members of our Defence Force that the nation is behind them in their endeavours: be it in the fight against crime, in peace-keeping operations or in their calm and professional assistance to voter registration.","We wish to assure members of our Defence Force that the nation is behind them in their endeavours: be it in the fight against crime, in peace-keeping operations or in their calm and professional assistance to voter registration.",positive,0.7416
1519,Mandela,We remain as committed as ever to equip the Force in a manner that ensures its effectiveness and adds value to the economy.,We remain as committed as ever to equip the Force in a manner that ensures its effectiveness and adds value to the economy.,positive,0.8254
1520,Mandela,"The building of our region and the renewal of our continent, to which we have referred, in turn form part of the broader movement of developing countries to eradicate poverty and overcome the historical imbalances between North and South.","The building of our region and the renewal of our continent, to which we have referred, in turn form part of the broader movement of developing countries to eradicate poverty and overcome the historical imbalances between North and South.",neutral,0.6041
1521,Mandela,The successful Non-Aligned Movement Summit in Durban last year has brought South Africa the opportunity to assist in asserting the interests of the developing world on serious issues facing humanity.,The successful Non-Aligned Movement Summit in Durban last year has brought South Africa the opportunity to assist in asserting the interests of the developing world on serious issues facing humanity.,positive,0.8482
1522,Mandela,"Amongst the most pressing of these is the debt burden as well as the need to bring under control the vast movements of capital which wash across the globe without much social benefit, and with the capacity to undo years of industrialisation where it is most urgently needed.","Amongst the most pressing of these is the debt burden as well as the need to bring under control the vast movements of capital which wash across the globe without much social benefit, and with the capacity to undo years of industrialisation where it is most urgently needed.",negative,0.6422
1523,Mandela,"The initiatives under discussion to manage these rampant effects of globalisation, including unfair protectionist measures in some industrialised countries, require the reform of Bretton Wood institutions, and even more critically, the United Nations Security Council, in conformity with the democratic ethos of our age.","The initiatives under discussion to manage these rampant effects of globalisation, including unfair protectionist measures in some industrialised countries, require the reform of Bretton Wood institutions, and even more critically, the United Nations Security Council, in conformity with the democratic ethos of our age.",neutral,0.766
1524,Mandela,"We are encouraged that more and more nations are starting to recognise not only the need for this, but its urgency as well.","We are encouraged that more and more nations are starting to recognise not only the need for this, but its urgency as well.",positive,0.8764
1525,Mandela,"We are proud as a country that over the last four-and-half years, we have broadened our relations with developing countries of Asia - now the second largest bloc with whom we trade - as well as Latin America across the Atlantic.","We are proud as a country that over the last four-and-half years, we have broadened our relations with developing countries of Asia - now the second largest bloc with whom we trade - as well as Latin America across the Atlantic.",positive,0.9425
1526,Mandela,Our strategic location places us well to act as a bridge linking these two important regions and the African continent.,Our strategic location places us well to act as a bridge linking these two important regions and the African continent.,positive,0.8801
1527,Mandela,"We scarcely need to add that this burgeoning of our links with the countries of the South is not in opposition to the our relations with Japan, the United States, Europe, including Russia, or the new strategic partnership we are building with the People's Republic of China.","We scarcely need to add that this burgeoning of our links with the countries of the South is not in opposition to the our relations with Japan, the United States, Europe, including Russia, or the new strategic partnership we are building with the People's Republic of China.",neutral,0.905
1528,Mandela,"On the contrary, they serve to enlarge the possibilities for truly equitable partnerships of mutual benefit to all our peoples.","On the contrary, they serve to enlarge the possibilities for truly equitable partnerships of mutual benefit to all our peoples.",positive,0.7633
1529,Mandela,"For a country that not many years ago was the polecat of the world, South Africa has truly undergone a revolution in its relations with the international community.","For a country that not many years ago was the polecat of the world, South Africa has truly undergone a revolution in its relations with the international community.",positive,0.6845
1530,Mandela,"The doors of the world have opened to South Africa, precisely because of our success in achieving things that humanity as a whole holds dear.","The doors of the world have opened to South Africa, precisely because of our success in achieving things that humanity as a whole holds dear.",positive,0.9728
1531,Mandela,Of this we should be proud.,Of this we should be proud.,positive,0.9282
1532,Mandela,"Madame Speaker;  As we reflect on the years of transition and beginnings of transformation, we have cause to draw inspiration from what South Africans can do.","Madame Speaker;  As we reflect on the years of transition and beginnings of transformation, we have cause to draw inspiration from what South Africans can do.",neutral,0.5314
1533,Mandela,"We dare to hope for a brighter future, because we are prepared to work for it.","We dare to hope for a brighter future, because we are prepared to work for it.",positive,0.9122
1534,Mandela,The steady progress of the past few years has laid the foundation for greater achievements.,The steady progress of the past few years has laid the foundation for greater achievements.,positive,0.97
1535,Mandela,"But the reality is that we can do much, much better.","But the reality is that we can do much, much better.",positive,0.659
1536,Mandela,"In the discussions that I have had with Deputy President Mbeki, we have posed to ourselves the question whether we should be satisfied with steady progress.","In the discussions that I have had with Deputy President Mbeki, we have posed to ourselves the question whether we should be satisfied with steady progress.",neutral,0.852
1537,Mandela,Is South Africa not capable of breaking out of the current pace and moving much faster to a better life?,Is South Africa not capable of breaking out of the current pace and moving much faster to a better life?,neutral,0.605
1538,Mandela,"As the Deputy President has often said, the policies we have accord with the needs of the moment.","As the Deputy President has often said, the policies we have accord with the needs of the moment.",neutral,0.8741
1539,Mandela,There is no need to change them.,There is no need to change them.,neutral,0.6297
1540,Mandela,Yet the speed and style of implementing them can be improved.,Yet the speed and style of implementing them can be improved.,positive,0.489
1541,Mandela,There are a few ingredients to this that need further attention.,There are a few ingredients to this that need further attention.,neutral,0.6543
1542,Mandela,"To elaborate on some of them:  The first ingredient is Partnership: If we examine the major successes that have been made this year in addressing the most serious problems we face, one factor stands out above all others: and that is partnership among various sectors of society.","To elaborate on some of them:  The first ingredient is Partnership: If we examine the major successes that have been made this year in addressing the most serious problems we face, one factor stands out above all others: and that is partnership among various sectors of society.",positive,0.8317
1543,Mandela,"The Jobs Summit, the new AIDS Awareness Campaign, the summits on morality and corruption, and the issue of security in the farming communities are concrete examples from recent months.","The Jobs Summit, the new AIDS Awareness Campaign, the summits on morality and corruption, and the issue of security in the farming communities are concrete examples from recent months.",neutral,0.8369
1544,Mandela,So too was last year's successful Masakhane Focus Week.,So too was last year's successful Masakhane Focus Week.,positive,0.8612
1545,Mandela,And it is in this spirit that we shall on Freedom Day announce this year's winners of the President's Award for Community Initiative.,And it is in this spirit that we shall on Freedom Day announce this year's winners of the President's Award for Community Initiative.,positive,0.7746
1546,Mandela,"These initiatives have resulted in major advances, as society mobilises hand-in-hand with government, to tackle the issues head on.","These initiatives have resulted in major advances, as society mobilises hand-in-hand with government, to tackle the issues head on.",positive,0.8282
1547,Mandela,"As such, one of the launching pads to faster progress has to be the mobilisation of South African society to act in unison on critical issues facing the nation.","As such, one of the launching pads to faster progress has to be the mobilisation of South African society to act in unison on critical issues facing the nation.",neutral,0.5238
1548,Mandela,"The second element is Discipline - the balance between freedom and responsibility: Quite clearly, there is something wrong with a society where freedom is interpreted to mean that teachers or students get to school drunk; warders chase away management and appoint their own friends to lead institutions; striking workers resort to violence and destruction of property; business-people lavish money in court cases simply to delay implementation of legislation they do not like; and tax evasion turns individuals into heroes of dinner-table talk.","The second element is Discipline - the balance between freedom and responsibility: Quite clearly, there is something wrong with a society where freedom is interpreted to mean that teachers or students get to school drunk; warders chase away management and appoint their own friends to lead institutions; striking workers resort to violence and destruction of property; business-people lavish money in court cases simply to delay implementation of legislation they do not like; and tax evasion turns individuals into heroes of dinner-table talk.",negative,0.873
1549,Mandela,Something drastic needs to be done about this.,Something drastic needs to be done about this.,negative,0.8228
1550,Mandela,"South African society - in its schools and universities, in the work-place, in sports, in professional work and all areas of social interaction - needs to infuse itself with a measure of discipline, a work ethic and responsibility for the actions we undertake.","South African society - in its schools and universities, in the work-place, in sports, in professional work and all areas of social interaction - needs to infuse itself with a measure of discipline, a work ethic and responsibility for the actions we undertake.",neutral,0.7431
1551,Mandela,"Thirdly, and related to the above is the question of reconstruction of the soul of the nation, ""the RDP of the Soul"": by this we mean first and foremost respect for life; pride and self-respect as South Africans rather than the notion that we can thrive in senseless self-flagellation.","Thirdly, and related to the above is the question of reconstruction of the soul of the nation, ""the RDP of the Soul"": by this we mean first and foremost respect for life; pride and self-respect as South Africans rather than the notion that we can thrive in senseless self-flagellation.",neutral,0.7705
1552,Mandela,"It means asserting our collective and individual identity as Africans, committed to the rebirth of the continent; being respectful of other citizens and honouring women and children of our country who are exposed to all kinds of domestic violence and abuse.","It means asserting our collective and individual identity as Africans, committed to the rebirth of the continent; being respectful of other citizens and honouring women and children of our country who are exposed to all kinds of domestic violence and abuse.",neutral,0.6441
1553,Mandela,It means building our schools into communities of learning and improvement of character.,It means building our schools into communities of learning and improvement of character.,positive,0.6526
1554,Mandela,"It means mobilising one another, and not merely waiting for government to clean our streets or for funding allocations to plant trees and tend school-yards.","It means mobilising one another, and not merely waiting for government to clean our streets or for funding allocations to plant trees and tend school-yards.",neutral,0.7418
1555,Mandela,These are things that we need to embrace as a nation that is nurturing its New Patriotism.,These are things that we need to embrace as a nation that is nurturing its New Patriotism.,positive,0.5748
1556,Mandela,They constitute an important environment for bringing up future generations.,They constitute an important environment for bringing up future generations.,positive,0.9058
1557,Mandela,They are about the involvement of South Africans in building a better life.,They are about the involvement of South Africans in building a better life.,neutral,0.6179
1558,Mandela,"Thus we shall take not just small steps, but giant leaps to a bright future in a new millennium.","Thus we shall take not just small steps, but giant leaps to a bright future in a new millennium.",positive,0.9056
1559,Mandela,"As we confounded the prophets of doom, we shall defy today's merchants of cynicism and despair.","As we confounded the prophets of doom, we shall defy today's merchants of cynicism and despair.",neutral,0.4645
1560,Mandela,"We shall, as we said in those letters of ten years ago, fully dismantle apartheid and achieve true reconciliation.","We shall, as we said in those letters of ten years ago, fully dismantle apartheid and achieve true reconciliation.",neutral,0.5246
1561,Mandela,Our hopes will become reality.,Our hopes will become reality.,positive,0.5917
1562,Mandela,The foundation has been laid - the building is in progress.,The foundation has been laid - the building is in progress.,positive,0.6013
1563,Mandela,"With a new generation of leaders and a people that rolls up its sleeves in partnerships for change, we can and shall build the country of our dreams!","With a new generation of leaders and a people that rolls up its sleeves in partnerships for change, we can and shall build the country of our dreams!",positive,0.9369
1564,Mandela,Madames Speaker and Deputy Speaker.,Madames Speaker and Deputy Speaker.,neutral,0.9386
1565,Mandela,"Chairperson of the National Council of Provinces and Deputy Chairperson (one revolving, the other one permanent), Premiers of our Provinces, Distinguished representatives of local government, Deputy President of the Republic, Honourable Members of our National Parliament, Your Excellencies Ambassadors and High Commissioners, Distinguished guests:  We are on course.","Chairperson of the National Council of Provinces and Deputy Chairperson (one revolving, the other one permanent), Premiers of our Provinces, Distinguished representatives of local government, Deputy President of the Republic, Honourable Members of our National Parliament, Your Excellencies Ambassadors and High Commissioners, Distinguished guests:  We are on course.",neutral,0.8862
1566,Mandela,"Steadily, the dark clouds of despair are lifting, giving way to our season of hope.","Steadily, the dark clouds of despair are lifting, giving way to our season of hope.",neutral,0.5166
1567,Mandela,"Our country which, for centuries, has bled from a thousand wounds is progressing towards its healing.","Our country which, for centuries, has bled from a thousand wounds is progressing towards its healing.",neutral,0.4676
1568,Mandela,"The continuing process of social and national emancipation, to which we are all subject, constitutes an evolving act of self-definition.","The continuing process of social and national emancipation, to which we are all subject, constitutes an evolving act of self-definition.",neutral,0.8757
1569,Mandela,"At the dawn of a new life, our practical actions must ensure that none can challenge us when we say - we are a nation at work to build a better life!","At the dawn of a new life, our practical actions must ensure that none can challenge us when we say - we are a nation at work to build a better life!",positive,0.8849
1570,Mandela,"When the millions of our people went to vote three weeks ago in peaceful elections that were free and fair, they guaranteed the permanence of the foundations from which we will advance to meet this objective.","When the millions of our people went to vote three weeks ago in peaceful elections that were free and fair, they guaranteed the permanence of the foundations from which we will advance to meet this objective.",positive,0.733
1571,Mandela,"To these masses we owe the obligation to recommit the government on whose behalf I speak, to the construction of a people-centred society.","To these masses we owe the obligation to recommit the government on whose behalf I speak, to the construction of a people-centred society.",neutral,0.6351
1572,Mandela,This I am happy to do with all the authority at my command.,This I am happy to do with all the authority at my command.,positive,0.8594
1573,Mandela,What will guide us in everything we do will be the challenge to build a caring society.,What will guide us in everything we do will be the challenge to build a caring society.,positive,0.5061
1574,Mandela,"This society must guarantee the dignity of every citizen on the basis of a good quality of life for every woman, man and child, without regard to race, or colour or disability.","This society must guarantee the dignity of every citizen on the basis of a good quality of life for every woman, man and child, without regard to race, or colour or disability.",positive,0.6092
1575,Mandela,It must be sustained by a growing economy capable of extending sustainable and equitable benefits to all our people.,It must be sustained by a growing economy capable of extending sustainable and equitable benefits to all our people.,positive,0.8541
1576,Mandela,"We seek to replace a society which, in many instances, has been and continues to be brutal and brutish in the extreme.","We seek to replace a society which, in many instances, has been and continues to be brutal and brutish in the extreme.",negative,0.8471
1577,Mandela,"Over the centuries this has condemned millions to a catastrophic loss of national identity and human dignity, land dispossession, classification and denigration as sub-humans and the systematic destruction of families and communities.","Over the centuries this has condemned millions to a catastrophic loss of national identity and human dignity, land dispossession, classification and denigration as sub-humans and the systematic destruction of families and communities.",negative,0.9178
1578,Mandela,"The society we seek to replace was, to a very significant degree, built on the law of the jungle of the survival of the fittest.","The society we seek to replace was, to a very significant degree, built on the law of the jungle of the survival of the fittest.",negative,0.6313
1579,Mandela,"Accordingly, the weakest who were denied access to power became the landless, the unemployed, the uneducated, the surplus people deported to the so-called homelands, the victims of abject poverty.","Accordingly, the weakest who were denied access to power became the landless, the unemployed, the uneducated, the surplus people deported to the so-called homelands, the victims of abject poverty.",negative,0.832
1580,Mandela,"Among these are those in our cities and towns who have lost all hope and all self-worth, who have slid into a twilight world of drug and alcohol abuse, the continuous sexual and physical abuse of women and children, of purposeless wars fought with fists and boots, with metal rods, knives and guns, everyday resulting in death and grievous bodily harm.","Among these are those in our cities and towns who have lost all hope and all self-worth, who have slid into a twilight world of drug and alcohol abuse, the continuous sexual and physical abuse of women and children, of purposeless wars fought with fists and boots, with metal rods, knives and guns, everyday resulting in death and grievous bodily harm.",negative,0.926
1581,Mandela,"The society we seek to replace entrenched corruption in all areas of human activity informed by the notion that the concepts of right and wrong are dead and, therefore, that everything that serves my personal interests is permissible.","The society we seek to replace entrenched corruption in all areas of human activity informed by the notion that the concepts of right and wrong are dead and, therefore, that everything that serves my personal interests is permissible.",neutral,0.6547
1582,Mandela,What we have said shows the enormity of the challenge we face to succeed in creating the caring society we have spoken of.,What we have said shows the enormity of the challenge we face to succeed in creating the caring society we have spoken of.,neutral,0.6445
1583,Mandela,For this reason this is not a task that can be carried out by the government alone.,For this reason this is not a task that can be carried out by the government alone.,neutral,0.5541
1584,Mandela,"The challenge of the reconstruction and development of our society into one which guarantees human dignity, faces the entirety of our people.","The challenge of the reconstruction and development of our society into one which guarantees human dignity, faces the entirety of our people.",neutral,0.7511
1585,Mandela,"It is a national task that calls for the mobilisation of the whole nation into united people's action, into a partnership with government for progressive change and a better life for all, for a common effort to build a winning nation.","It is a national task that calls for the mobilisation of the whole nation into united people's action, into a partnership with government for progressive change and a better life for all, for a common effort to build a winning nation.",positive,0.6916
1586,Mandela,"The Government therefore commits itself to work in a close partnership with all our people, inspired by the call - Faranani!","The Government therefore commits itself to work in a close partnership with all our people, inspired by the call - Faranani!",positive,0.8263
